objectid,submission_seed,time_elapsed_s,rank_google/gemini-2.5-flash-lite,rank_meta-llama/llama-4-maverick,rank_openai/gpt-4o-mini,rank_qwen/qwen3-vl-8b-instruct
m15298_1,3213475298,53.757,4,2,3,1
m94775,3213475298,69.868,4,2,3,1
m13176,3213475298,67.752,4,3,1,2
m95804,3213475298,59.506,4,3,1,2
m92410,3213475298,69.57,1,4,2,3
m39198_1,3213475298,42.056,2,4,1,3
m94271,3213475298,36.451,2,4,1,3
m34620,3213475298,108.367,3,2,4,1
m37716,3213475298,52.283,4,3,1,2
m91000_1,3213475298,57.588,2,4,1,3
m29084,3213475298,109.244,3,4,1,2
m88415_1,3213475298,47.367,4,2,1,3
m91960,3213475298,121.541,2,1,4,3
m28635,3213475298,134.056,4,2,1,3
m20435,3213475298,207.33,3,4,1,2
m12965,3213475298,70.996,4,3,1,2
m37030_1,3213475298,86.082,1,2,3,4
m82972,3213475298,86.928,3,2,1,4
m92357,3213475298,94.514,4,1,3,2
m22924,3213475298,66.925,4,1,2,3
m88415_1,1780808760,133.719,4,2,3,1
m95804,1780808760,59.956,3,4,1,2
m28635,1780808760,75.476,4,2,1,3
m34620,1780808760,116.364,2,1,3,4
m13176,1780808760,91.913,2,1,4,3
m20435,1780808760,123.102,4,2,3,1
m29084,1780808760,57.26,2,4,3,1
m37030_1,1780808760,54.042,2,3,1,4
m37716,1780808760,52.803,4,3,1,2
m94775,1780808760,73.252,4,2,3,1
m15298_1,1780808760,59.333,4,2,3,1
m94271,1780808760,115.353,2,4,3,1
m92410,1780808760,162.569,3,2,1,4
m92357,1780808760,139.487,2,3,4,1
m91000_1,1780808760,83.599,2,1,4,3
m91960,1780808760,136.969,2,3,4,1
m39198_1,1780808760,43.516,4,1,3,2
m12965,1780808760,51.048,2,1,3,4
m22924,1780808760,50.95,4,1,3,2
m82972,1780808760,42.159,2,1,4,3
m88415_1,1645246308,68.362,4,3,1,2
m91960,1645246308,97.858,1,3,4,2
m37716,1645246308,31.304,1,2,3,4
m22924,1645246308,48.777,2,4,3,1
m92410,1645246308,33.679,1,4,2,3
m82972,1645246308,48.172,3,2,4,1
m37030_1,1645246308,56.724,2,3,4,1
m94775,1645246308,30.075,4,1,3,2
m28635,1645246308,16.144,2,1,3,4
m95804,1645246308,15.048,3,2,4,1
m94271,1645246308,14.751,1,2,3,4
m20435,1645246308,21.403,3,2,4,1
m34620,1645246308,22.158,1,2,3,4
m92357,1645246308,26.805,1,2,4,3
m91000_1,1645246308,16.386,3,2,4,1
m13176,1645246308,14.731,2,1,4,3
m15298_1,1645246308,11.713,1,2,4,3
m39198_1,1645246308,14.361,1,3,4,2
m29084,1645246308,12.167,2,1,4,3
m12965,1645246308,10.407,2,1,4,3
m92410,1749488431,77.615,1,3,2,4
m82972,1749488431,93.587,1,3,2,4
m91960,1749488431,45.578,3,1,4,2
m92357,1749488431,157.844,1,2,3,4
m28635,1749488431,72.011,4,2,1,3
m20435,1749488431,47.066,3,4,2,1
m95804,1749488431,44.836,3,4,2,1
m12965,1749488431,60.443,3,1,2,4
m15298_1,1749488431,201.826,4,1,3,2
m22924,1749488431,104.51,4,2,3,1
m39198_1,1749488431,299.257,4,2,1,3
m94271,1749488431,33.277,1,4,2,3
m37716,1749488431,53.048,4,3,1,2
m88415_1,1749488431,189.45,4,3,1,2
m13176,1749488431,40.146,4,3,1,2
m91000_1,1749488431,24.735,4,2,1,3
m94775,1749488431,53.298,4,3,1,2
m37030_1,1749488431,77.849,2,4,1,3
m34620,1749488431,44.299,3,4,1,2
m29084,1749488431,49.473,3,4,2,1
m91960,1174016519,139.373,4,2,1,3
m95804,1174016519,81.599,3,4,1,2
m34620,1174016519,64.534,3,4,1,2
m29084,1174016519,169.549,3,4,1,2
m13176,1174016519,55.633,4,3,1,2
m37716,1174016519,81.933,3,4,2,1
m39198_1,1174016519,60.9,4,3,1,2
m94271,1174016519,51.399,2,3,1,4
m37030_1,1174016519,51.983,2,4,1,3
m82972,1174016519,74.033,1,3,2,4
m12965,1174016519,48.201,4,3,1,2
m91000_1,1174016519,64.103,4,3,2,1
m28635,1174016519,77.444,2,4,1,3
m94775,1174016519,57.256,4,2,1,3
m92357,1174016519,90.82,3,4,1,2
m15298_1,1174016519,67.691,4,3,2,1
m20435,1174016519,80.901,2,3,4,1
m92410,1174016519,69.3,1,4,3,2
m22924,1174016519,70.498,4,2,1,3
m88415_1,1174016519,96.086,4,2,3,1
m37030_1,54319266,18.164,4,2,1,3
m37716,54319266,12.711,4,1,2,3
m20435,54319266,26.97,2,4,3,1
m92357,54319266,22.045,4,2,1,3
m29084,54319266,16.123,3,4,2,1
m13176,54319266,24.578,3,4,2,1
m95804,54319266,24.428,1,4,3,2
m82972,54319266,14.724,1,2,4,3
m88415_1,54319266,12.732,4,1,3,2
m34620,54319266,17.916,2,3,4,1
m39198_1,54319266,16.54,3,2,4,1
m91960,54319266,15.275,3,1,4,2
m92410,54319266,12.749,1,3,2,4
m12965,54319266,15.016,2,4,3,1
m94271,54319266,16.561,1,4,3,2
m94775,54319266,20.969,4,1,3,2
m15298_1,54319266,27.193,2,3,1,4
m28635,54319266,17.459,2,1,3,4
m91000_1,54319266,57.841,4,1,2,3
m22924,54319266,20.204,1,3,4,2
m39198_1,2360355328,72.528,4,1,3,2
m37716,2360355328,33.774,3,4,2,1
m22924,2360355328,46.676,4,2,3,1
m94271,2360355328,42.444,4,1,3,2
m13176,2360355328,35.525,3,1,4,2
m20435,2360355328,49.241,2,3,4,1
m95804,2360355328,38.85,1,2,4,3
m29084,2360355328,49.071,2,3,4,1
m94775,2360355328,80.22,3,4,1,2
m34620,2360355328,45.822,3,1,4,2
m92410,2360355328,36.616,4,1,2,3
m91000_1,2360355328,71.437,3,1,2,4
m37030_1,2360355328,28.636,4,1,2,3
m12965,2360355328,41.82,2,1,3,4
m88415_1,2360355328,26.229,2,3,1,4
m28635,2360355328,27.436,3,1,2,4
m91960,2360355328,68.349,4,1,3,2
m82972,2360355328,27.847,1,2,4,3
m15298_1,2360355328,59.118,3,1,4,2
m92357,2360355328,57.119,3,4,2,1
m28635,3687201907,68.349,1,2,3,4
m92410,3687201907,160.607,1,2,4,3
m37716,3687201907,48.014,2,3,4,1
m94271,3687201907,31.653,1,2,3,4
m39198_1,3687201907,284.437,1,4,2,3
m29084,3687201907,142.911,1,2,4,3
m22924,3687201907,50.517,1,3,4,2
m20435,3687201907,76.475,3,2,4,1
m82972,3687201907,39.902,1,3,2,4
m15298_1,3687201907,55.195,1,3,4,2
m12965,3687201907,55.635,4,3,2,1
m13176,3687201907,23.821,1,3,4,2
m91960,3687201907,88.96,1,3,4,2
m37030_1,3687201907,2.258,2,1,4,3
m92357,3687201907,47.812,1,3,4,2
m94775,3687201907,60.634,4,3,1,2
m95804,3687201907,11.332,2,1,4,3
m88415_1,3687201907,17.082,2,1,4,3
m91000_1,3687201907,23.329,3,1,4,2
m34620,3687201907,10.731,2,1,4,3
m39198_1,3884199938,89.029,2,4,1,3
m12965,3884199938,91.958,3,1,4,2
m28635,3884199938,74.601,3,1,2,4
m92357,3884199938,120.254,2,1,3,4
m29084,3884199938,44.269,2,3,4,1
m94271,3884199938,55.027,3,4,1,2
m91000_1,3884199938,98.076,4,2,1,3
m20435,3884199938,85.962,1,4,3,2
m13176,3884199938,78.572,4,3,2,1
m88415_1,3884199938,93.297,4,2,1,3
m91960,3884199938,62.751,3,1,2,4
m94775,3884199938,48.228,4,1,3,2
m37030_1,3884199938,53.059,1,3,2,4
m37716,3884199938,58.696,1,2,3,4
m95804,3884199938,38.65,3,4,1,2
m22924,3884199938,51.822,1,4,2,3
m15298_1,3884199938,44.925,1,2,4,3
m82972,3884199938,82.055,1,2,3,4
m34620,3884199938,28.248,2,1,4,3
m92410,3884199938,49.153,1,3,2,4
m28635,3038298088,84.146,3,4,1,2
m94271,3038298088,54.11,3,4,1,2
m13176,3038298088,96.697,4,3,2,1
m92357,3038298088,133.44,2,4,1,3
m95804,3038298088,68.849,3,4,2,1
m12965,3038298088,70.253,3,4,1,2
m92410,3038298088,58.096,1,3,4,2
m37030_1,3038298088,214.694,3,1,2,4
m91960,3038298088,58.088,4,2,3,1
m82972,3038298088,63.578,3,2,1,4
m15298_1,3038298088,103.376,3,2,4,1
m29084,3038298088,46.876,3,4,1,2
m20435,3038298088,70.726,4,3,2,1
m91000_1,3038298088,34.559,4,3,1,2
m94775,3038298088,91.393,4,3,2,1
m88415_1,3038298088,52.609,4,1,2,3
m39198_1,3038298088,70.446,4,3,1,2
m37716,3038298088,67.107,3,4,2,1
m34620,3038298088,79.843,2,3,4,1
m22924,3038298088,74.776,4,3,1,2
m92410,641475739,90.319,4,1,2,3
m15298_1,641475739,68.811,3,2,4,1
m94271,641475739,30.144,3,4,1,2
m20435,641475739,44.828,1,4,3,2
m82972,641475739,58.163,2,4,3,1
m34620,641475739,58.271,1,3,2,4
m37030_1,641475739,39.635,1,4,2,3
m22924,641475739,50.755,2,3,1,4
m91000_1,641475739,36.577,3,2,4,1
m28635,641475739,39.773,3,2,1,4
m94775,641475739,42.442,4,3,2,1
m39198_1,641475739,28.694,4,1,3,2
m37716,641475739,26.079,4,2,1,3
m95804,641475739,33.34,3,1,4,2
m29084,641475739,40.253,3,4,1,2
m13176,641475739,34.362,2,3,4,1
m91960,641475739,66.656,4,2,3,1
m12965,641475739,37.186,2,1,4,3
m88415_1,641475739,41.831,4,1,3,2
m92357,641475739,43.091,4,2,3,1
m92410,3268970044,267.955,4,2,1,3
m92357,3268970044,85.445,1,4,2,3
m22924,3268970044,62.06,3,1,2,4
m39198_1,3268970044,30.87,4,2,1,3
m34620,3268970044,47.564,3,2,1,4
m82972,3268970044,75.756,2,4,1,3
m91960,3268970044,85.658,4,1,3,2
m37716,3268970044,54.401,3,1,2,4
m94271,3268970044,46.139,1,4,2,3
m13176,3268970044,84.849,3,1,2,4
m12965,3268970044,28.378,2,1,4,3
m15298_1,3268970044,54.224,1,3,4,2
m37030_1,3268970044,62.457,3,2,1,4
m88415_1,3268970044,81.642,2,1,4,3
m28635,3268970044,60.643,3,2,1,4
m95804,3268970044,42.267,2,4,1,3
m20435,3268970044,33.99,3,2,4,1
m29084,3268970044,28.951,3,2,4,1
m91000_1,3268970044,44.986,3,1,4,2
m94775,3268970044,53.602,2,4,3,1
m82972,3369992133,71.919,2,3,4,1
m91000_1,3369992133,31.793,4,2,3,1
m20435,3369992133,255.458,1,3,4,2
m28635,3369992133,50.353,1,3,2,4
m94271,3369992133,34.471,1,3,4,2
m12965,3369992133,86.922,2,1,3,4
m91960,3369992133,61.109,4,2,3,1
m37716,3369992133,37.525,2,1,4,3
m92357,3369992133,88.565,1,2,3,4
m95804,3369992133,31.183,2,3,4,1
m34620,3369992133,92.638,2,1,4,3
m15298_1,3369992133,39.66,1,2,4,3
m94775,3369992133,45.249,4,2,3,1
m92410,3369992133,40.534,1,3,2,4
m37030_1,3369992133,34.284,1,4,2,3
m22924,3369992133,62.349,1,4,2,3
m29084,3369992133,30.087,2,1,4,3
m88415_1,3369992133,52.771,1,2,4,3
m39198_1,3369992133,18.0,1,2,4,3
m13176,3369992133,27.236,1,2,4,3
m39198_1,2419306062,343.425,4,1,3,2
m29084,2419306062,105.394,2,4,3,1
m91960,2419306062,213.069,3,1,4,2
m95804,2419306062,71.648,2,3,4,1
m92410,2419306062,178.318,1,2,3,4
m15298_1,2419306062,97.507,3,2,4,1
m28635,2419306062,91.808,2,1,3,4
m37030_1,2419306062,140.918,2,3,1,4
m22924,2419306062,183.711,3,4,2,1
m88415_1,2419306062,125.928,3,2,4,1
m91000_1,2419306062,88.304,2,1,4,3
m94271,2419306062,90.08,1,4,2,3
m20435,2419306062,72.152,3,1,4,2
m12965,2419306062,79.823,2,1,4,3
m34620,2419306062,104.848,4,3,2,1
m37716,2419306062,62.481,4,3,1,2
m13176,2419306062,89.43,4,3,2,1
m82972,2419306062,95.408,1,2,3,4
m94775,2419306062,67.502,4,2,3,1
m92357,2419306062,91.663,1,2,4,3
m12965,2173697984,50.988,3,4,1,2
m29084,2173697984,27.532,3,4,1,2
m20435,2173697984,57.533,4,2,1,3
m28635,2173697984,33.217,4,3,1,2
m37030_1,2173697984,34.515,3,2,1,4
m37716,2173697984,30.781,3,4,1,2
m91960,2173697984,51.464,2,1,3,4
m34620,2173697984,21.45,2,4,1,3
m88415_1,2173697984,48.865,4,2,1,3
m39198_1,2173697984,51.963,4,3,1,2
m94775,2173697984,24.115,4,3,1,2
m15298_1,2173697984,28.736,4,3,1,2
m92357,2173697984,29.765,4,2,1,3
m94271,2173697984,21.367,4,3,1,2
m82972,2173697984,24.298,4,2,1,3
m22924,2173697984,20.519,3,4,2,1
m95804,2173697984,19.398,3,4,1,2
m13176,2173697984,17.616,3,4,1,2
m91000_1,2173697984,20.715,4,3,1,2
m92410,2173697984,23.783,1,4,3,2
m94271,2457176173,34.838,4,3,1,2
m92410,2457176173,28.966,1,4,3,2
m91960,2457176173,43.467,3,2,1,4
m29084,2457176173,50.62,1,4,2,3
m95804,2457176173,35.582,2,4,1,3
m82972,2457176173,24.123,2,1,4,3
m15298_1,2457176173,30.64,4,2,3,1
m39198_1,2457176173,18.113,4,3,1,2
m28635,2457176173,21.307,3,4,1,2
m37716,2457176173,51.001,3,4,2,1
m88415_1,2457176173,37.563,4,2,3,1
m20435,2457176173,52.141,2,4,3,1
m94775,2457176173,34.896,4,3,1,2
m12965,2457176173,32.072,3,4,1,2
m92357,2457176173,35.453,4,2,3,1
m91000_1,2457176173,20.185,4,3,2,1
m37030_1,2457176173,25.294,1,2,3,4
m22924,2457176173,42.061,4,1,3,2
m13176,2457176173,38.975,2,4,1,3
m34620,2457176173,25.347,3,2,4,1
m94775,2382306859,68.285,4,1,2,3
m94271,2382306859,36.465,4,2,1,3
m82972,2382306859,82.194,1,3,4,2
m28635,2382306859,41.717,4,2,1,3
m12965,2382306859,45.048,2,3,1,4
m13176,2382306859,39.445,4,3,1,2
m22924,2382306859,40.185,2,4,3,1
m88415_1,2382306859,63.382,4,3,1,2
m37716,2382306859,31.099,4,3,2,1
m92410,2382306859,43.015,3,2,4,1
m29084,2382306859,58.115,2,4,1,3
m15298_1,2382306859,52.399,4,3,1,2
m91960,2382306859,77.916,4,2,1,3
m92357,2382306859,79.497,3,2,1,4
m20435,2382306859,44.267,3,1,2,4
m91000_1,2382306859,68.246,4,3,2,1
m34620,2382306859,66.117,3,4,2,1
m39198_1,2382306859,40.302,4,3,2,1
m37030_1,2382306859,66.334,3,2,1,4
m95804,2382306859,57.132,3,4,2,1
m82972,2971381377,681.316,4,3,1,2
m88415_1,2971381377,523.689,4,3,2,1
m37030_1,2971381377,351.543,1,4,2,3
m29084,2971381377,216.308,3,4,2,1
m37716,2971381377,112.648,4,3,1,2
m34620,2971381377,127.832,2,4,3,1
m20435,2971381377,37.387,3,2,4,1
m13176,2971381377,56.855,4,2,3,1
m92410,2971381377,58.405,4,2,1,3
m91000_1,2971381377,57.839,1,3,4,2
m94775,2971381377,45.504,2,3,4,1
m91960,2971381377,81.788,2,3,4,1
m22924,2971381377,118.476,3,1,2,4
m95804,2971381377,40.812,4,3,1,2
m15298_1,2971381377,50.142,1,4,2,3
m94271,2971381377,32.149,3,1,4,2
m92357,2971381377,79.408,3,1,2,4
m12965,2971381377,38.071,3,4,2,1
m39198_1,2971381377,59.366,4,3,1,2
m28635,2971381377,55.324,2,1,4,3
m88415_1,1747867431,135.154,4,2,1,3
m20435,1747867431,250.822,1,4,3,2
m94775,1747867431,80.022,4,3,1,2
m92410,1747867431,52.214,1,4,2,3
m92357,1747867431,160.881,1,2,3,4
m34620,1747867431,138.311,3,4,2,1
m82972,1747867431,79.93,1,3,2,4
m91000_1,1747867431,43.365,4,2,3,1
m15298_1,1747867431,111.496,4,3,1,2
m94271,1747867431,28.789,3,4,1,2
m39198_1,1747867431,118.576,4,3,2,1
m37716,1747867431,29.617,4,3,1,2
m13176,1747867431,51.078,4,3,2,1
m28635,1747867431,61.285,2,4,1,3
m91960,1747867431,114.63,3,1,4,2
m37030_1,1747867431,63.566,1,4,3,2
m12965,1747867431,44.809,3,4,1,2
m29084,1747867431,130.307,3,4,2,1
m95804,1747867431,38.311,4,1,2,3
m22924,1747867431,62.641,4,1,2,3
m34620,2218793671,68.456,3,4,2,1
m92410,2218793671,94.212,3,1,2,4
m15298_1,2218793671,61.291,3,2,1,4
m22924,2218793671,59.144,4,1,2,3
m37716,2218793671,51.191,3,4,2,1
m29084,2218793671,38.683,2,4,3,1
m39198_1,2218793671,30.061,4,2,1,3
m82972,2218793671,75.134,1,2,3,4
m37030_1,2218793671,33.479,3,4,2,1
m12965,2218793671,94.032,4,1,2,3
m91000_1,2218793671,68.454,4,1,2,3
m91960,2218793671,84.645,3,4,1,2
m28635,2218793671,44.376,4,2,1,3
m94775,2218793671,39.125,3,4,2,1
m92357,2218793671,32.441,3,2,4,1
m13176,2218793671,57.971,4,2,3,1
m20435,2218793671,81.833,2,4,1,3
m95804,2218793671,26.82,2,3,4,1
m94271,2218793671,55.729,1,4,2,3
m88415_1,2218793671,58.661,4,3,1,2
m22924,2112929238,53.925,1,3,4,2
m91960,2112929238,177.933,3,1,4,2
m88415_1,2112929238,78.141,4,3,2,1
m91000_1,2112929238,67.924,3,2,4,1
m37716,2112929238,84.946,1,2,4,3
m94775,2112929238,49.854,4,3,2,1
m20435,2112929238,58.223,1,4,2,3
m82972,2112929238,50.458,1,4,2,3
m15298_1,2112929238,53.098,3,2,1,4
m39198_1,2112929238,40.8,4,3,2,1
m37030_1,2112929238,48.067,4,2,1,3
m13176,2112929238,44.686,3,2,4,1
m29084,2112929238,40.097,2,4,1,3
m92410,2112929238,96.718,1,3,2,4
m12965,2112929238,47.584,3,1,2,4
m92357,2112929238,61.961,1,3,2,4
m28635,2112929238,36.404,3,2,1,4
m34620,2112929238,111.584,1,2,4,3
m95804,2112929238,46.595,3,4,1,2
m94271,2112929238,29.633,1,4,3,2
