objectid,title,prompt_sha256,google__gemini-2.5-flash-lite__content,meta-llama__llama-4-maverick__content,openai__gpt-4o-mini__content,qwen__qwen3-vl-8b-instruct__content,google__gemini-2.5-flash-lite__finish_reason,meta-llama__llama-4-maverick__finish_reason,openai__gpt-4o-mini__finish_reason,qwen__qwen3-vl-8b-instruct__finish_reason,google__gemini-2.5-flash-lite__usage_prompt_tokens,meta-llama__llama-4-maverick__usage_prompt_tokens,openai__gpt-4o-mini__usage_prompt_tokens,qwen__qwen3-vl-8b-instruct__usage_prompt_tokens,google__gemini-2.5-flash-lite__usage_completion_tokens,meta-llama__llama-4-maverick__usage_completion_tokens,openai__gpt-4o-mini__usage_completion_tokens,qwen__qwen3-vl-8b-instruct__usage_completion_tokens,google__gemini-2.5-flash-lite__usage_total_tokens,meta-llama__llama-4-maverick__usage_total_tokens,openai__gpt-4o-mini__usage_total_tokens,qwen__qwen3-vl-8b-instruct__usage_total_tokens,google__gemini-2.5-flash-lite__usage_cost,meta-llama__llama-4-maverick__usage_cost,openai__gpt-4o-mini__usage_cost,qwen__qwen3-vl-8b-instruct__usage_cost,google__gemini-2.5-flash-lite__provider,meta-llama__llama-4-maverick__provider,openai__gpt-4o-mini__provider,qwen__qwen3-vl-8b-instruct__provider,google__gemini-2.5-flash-lite__created,meta-llama__llama-4-maverick__created,openai__gpt-4o-mini__created,qwen__qwen3-vl-8b-instruct__created,google__gemini-2.5-flash-lite__id,meta-llama__llama-4-maverick__id,openai__gpt-4o-mini__id,qwen__qwen3-vl-8b-instruct__id,google__gemini-2.5-flash-lite__request_started_utc,meta-llama__llama-4-maverick__request_started_utc,openai__gpt-4o-mini__request_started_utc,qwen__qwen3-vl-8b-instruct__request_started_utc,google__gemini-2.5-flash-lite__request_ended_utc,meta-llama__llama-4-maverick__request_ended_utc,openai__gpt-4o-mini__request_ended_utc,qwen__qwen3-vl-8b-instruct__request_ended_utc,google__gemini-2.5-flash-lite__latency_seconds,meta-llama__llama-4-maverick__latency_seconds,openai__gpt-4o-mini__latency_seconds,qwen__qwen3-vl-8b-instruct__latency_seconds,google__gemini-2.5-flash-lite__error,meta-llama__llama-4-maverick__error,openai__gpt-4o-mini__error,qwen__qwen3-vl-8b-instruct__error,created_utc
m12965,"Kartoffelpflanze, Auszug aus einem Herbarium",ad2d9213c3d788888e6ee984ad364025faf0d34ac146c8bf439f595ced12c7de,"Getrocknete Kartoffelpflanze, wahrscheinlich aus dem Jahr 1600. Vom Botaniker Caspar Bauhin gesammelt und beschriftet.","Getrocknete Kartoffelpflanze mit Blüten und braunen Blättern auf vergilbtem Papier montiert, handschriftliche Beschriftung.","Herbarium-Auszug mit der Kartoffelpflanze (Solanum tuberosum esculentum). 17. Jahrhundert, getrocknete Pflanzenblätter und -blüten auf handgeschöpftem Papier. Wichtiger botanischer Nachweis von Caspar Bauhin, der die Pflanze in seinem Garten anbaute.","Trockenpräparat der Kartoffelpflanze (Solanum tuberosum), um 1600. Blätter und Blüten auf Papier montiert, handschriftliche Beschriftung mit lateinischer und lateinisch-amerikanischer Bezeichnung. Vermutlich ältester erhaltener Beleg.",stop,stop,stop,stop,2464,1683,26171,2099,30,34,68,62,2494,1717,26239,2161,0.0002584,0.00048331,0.00396645,0.00042122,Google,Together,OpenAI,Alibaba,1761082687,1761082696,1761082693,1761082690,gen-1761082687-l4j9NVCdYkOt2Aknj5FJ,gen-1761082696-lzXex0kV7Tpr7pV1iRdO,gen-1761082691-yqkxg1TKPx1aM27L1PZm,gen-1761082689-kBhGHcNuzMeb8nKKceCd,2025-10-21T21:38:07+00:00,2025-10-21T21:38:16+00:00,2025-10-21T21:38:11+00:00,2025-10-21T21:38:09+00:00,2025-10-21T21:38:09+00:00,2025-10-21T21:38:18+00:00,2025-10-21T21:38:16+00:00,2025-10-21T21:38:11+00:00,2.884877,2.537632,4.295715,1.963994,,,,,2025-10-21T21:39:33+00:00
m13176,‹Fressender Narr› aus dem Stammbuch von Jacob Götz,9893a7ff65f4181096e8628da55012edfa5a369c88514c20816cfcd2ffb93652,"Stammbuchblatt mit Illustration eines Narren, der isst, und eines Schweins, 17. Jahrhundert.","Narr mit roter Kappe isst Fleisch, Schwein daneben, kolorierte Zeichnung mit Text in gotischer Schrift.","Fressender Narr, aus dem Stammbuch von Jacob Götz, zeigt einen großen, redenden Narr im roten Gewand, der genüsslich an einem Bein eines Bratens isst. Vor ihm liegt ein Schwein, das ebenfalls frisst. Der Hintergrund umfasst verschiedene Gefäße und eine Lampe. Das Bild kritisiert ironisch die Exzesse beim Baden. Anonym, 16XX, Historisches Museum Basel.","Fressender Narr in roter Narrenmütze, sitzend, Bierkrug haltend, neben Schwein, das aus Schale frisst. Stammbuchseite mit handschriftlichem Gedicht über Badeausflug und Exzesse.",stop,stop,stop,stop,2375,1585,26086,1175,26,28,91,58,2401,1613,26177,1233,0.0002479,0.00029325,0.0039675,0.00025152,Google,Novita,OpenAI,DeepInfra,1761082672,1761082682,1761082678,1761082675,gen-1761082672-aogI0avreE8SCaPKD6YB,gen-1761082682-NDbjIMAWlQQTbGlUDwo8,gen-1761082678-piSiuyI5HbHR1rWry9h2,gen-1761082675-RoCRKA3Z5a2dc9o7PhR0,2025-10-21T21:37:52+00:00,2025-10-21T21:38:02+00:00,2025-10-21T21:37:58+00:00,2025-10-21T21:37:55+00:00,2025-10-21T21:37:55+00:00,2025-10-21T21:38:06+00:00,2025-10-21T21:38:02+00:00,2025-10-21T21:37:58+00:00,3.349788,4.328438,3.469857,3.018243,,,,,2025-10-21T21:39:33+00:00
m15298_1,Zwischen 1912 und 1966 neu erbaute Gotteshäuser in Basel,12546aad0dd409152ab3c6795835d60d8faa8d37287233b1f72dd11a624858e8,"Karte von Basel mit Markierungen neu erbauter Gotteshäuser zwischen 1912 und 1966, farblich nach Konfession unterschieden.","Karte von Basel mit 18 neu erbauten Gotteshäusern zwischen 1912 und 1966; römisch-katholische (gelb), evangelisch-reformierte (blau) und jüdische (grün) markiert, mit Baujahr.","Karte mit neuen Gotteshäusern in Basel zwischen 1912 und 1966. Markiert sind Standorte der evangelisch-reformierten, römisch-katholischen und jüdischen Kirchen sowie deren Baujahre. Wichtige Kirchen sind Heiliggeistkirche (1912), Antoniiuskirche (1927) und weitere bis zu Gellertkirche (1964). Die Karte illustriert die Verteilung und den Bauboom in den äußeren Quartieren.","Karte von Basel mit 18 neu erbauten Gotteshäusern (1912–1966), farbcodiert nach Konfession: römisch-katholisch (gelb), evangelisch-reformiert (blau), jüdisch (grün). Jeder Punkt mit Nummer und Name, inkl. Baujahr.",stop,stop,stop,stop,2047,2183,26243,1505,33,56,104,81,2080,2239,26347,1586,0.0002179,0.0004702,0.00399885,0.0001609,Google,Groq,OpenAI,Novita,1761082591,1761082601,1761082597,1761082594,gen-1761082591-81ty1iEd0yVr5rBs7Qwi,gen-1761082601-snHUV6lMRxhBeJ4MjGB2,gen-1761082597-QTv4dJpuH57qU8mBptFR,gen-1761082594-uLdiNQtA5J3p4flQfHxg,2025-10-21T21:36:31+00:00,2025-10-21T21:36:41+00:00,2025-10-21T21:36:37+00:00,2025-10-21T21:36:34+00:00,2025-10-21T21:36:34+00:00,2025-10-21T21:36:42+00:00,2025-10-21T21:36:41+00:00,2025-10-21T21:36:37+00:00,3.581992,0.958454,3.795032,2.689828,,,,,2025-10-21T21:39:33+00:00
m20435,Umschrift der Grabinschrift des römischen Offiziers und Statthalters Lucius Munatius Plancus von seinem Grabmal,30185ff22a9f3665d9eae76c9f4a0d232585163eb5e3bba06789abd9d911faec,"Zeichnung einer römischen Grabinschrift mit Textfeldern. Sie listet die Namen und Errungenschaften des Lucius Munatius Plancus auf, darunter die Gründung von Kolonien in Gallien.","Lateinische Grabinschrift des Lucius Munatius Plancus, Gründer der Kolonien Lugdunum (Lyon) und Raurica (Basel/Augst)","Grabinschrift des römischen Offiziers Lucius Munatius Plancus, der in Gallien die Kolonien Lugudunum und Raurica gründete. Die Inschrift ist in lateinischer Sprache verfasst und stammt von seinem Grabmal auf Cap Gaëta, südlich von Rom. Sie zeigt typische Merkmale römischer Inschriftenkunst.","Grabinschrift des römischen Offiziers Lucius Munatius Plancus. Sie nennt seine Funktion, seine Gründung von Lugudunum und Raurica in Gallien und seine Tätigkeit in Italien.",stop,stop,stop,stop,2907,1185,14772,947,40,40,77,51,2947,1225,14849,998,0.0003067,0.000261,0.002262,0.00010126,Google,Groq,OpenAI,Novita,1761082765,1761082772,1761082770,1761082767,gen-1761082765-qAnIbwN22xLEOPNpzFUT,gen-1761082772-zV31C9WWFw8yKMaEJbRz,gen-1761082769-be3ArWbyEQiUTamoMsEv,gen-1761082767-3uiPTG9bOj4kEZvhhofy,2025-10-21T21:39:25+00:00,2025-10-21T21:39:32+00:00,2025-10-21T21:39:28+00:00,2025-10-21T21:39:27+00:00,2025-10-21T21:39:27+00:00,2025-10-21T21:39:33+00:00,2025-10-21T21:39:32+00:00,2025-10-21T21:39:28+00:00,2.185384,0.973186,3.640683,1.739304,,,,,2025-10-21T21:39:33+00:00
m22924,Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel,90c17b96b4d7ab90eaa72dcc5740bc41fee74f9af084383e864cb9ef54aebcdc,"Federzeichnung eines zirkumpolaren Stadtpanoramas von Basel, 1787. 360-Grad-Ansicht auf die Stadt und Umgebung von einem Kamin aus.","Zirkumpolares Panorama der Stadt Basel, 1787, Federzeichnung von Franz Feyerabend. Blick vom Kamin des ""Blauen Hauses"", 360-Grad-Umsicht mit Stadt und Umgebung, schwarze Tinte, zentrale Darstellung des Kamins.","Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel. 360-Grad-Umsicht vom Kamin des ‹Blauen Hauses›, zeigt die Stadt und ihre Umgebung. Schwarz-weiße Zeichnung mit kreisförmigem Format. Datierung: 1787.","Zirkumpolarer Panoramablick auf Basel von 1787, gezeichnet aus einem Kamin des Blauen Hauses. Schwarz-weiß, radial komponiert, mit detaillierter Darstellung der Stadt und Umgebung in 360-Grad-Perspektive.",stop,stop,stop,stop,1879,2034,26088,1434,41,56,60,66,1920,2090,26148,1500,0.0002043,0.0004404,0.0039492,0.00014772,Google,Groq,OpenAI,Novita,1761082664,1761082671,1761082668,1761082666,gen-1761082664-g6zxt1WBLBJp1VQ4eKG1,gen-1761082671-EZ88yY9D0d2AB1Pz3YZ4,gen-1761082668-Ht3xFMNyNYSpYxrDCvzc,gen-1761082666-A2k9lhe1RY5Ax4UDIrUT,2025-10-21T21:37:44+00:00,2025-10-21T21:37:51+00:00,2025-10-21T21:37:48+00:00,2025-10-21T21:37:46+00:00,2025-10-21T21:37:46+00:00,2025-10-21T21:37:52+00:00,2025-10-21T21:37:51+00:00,2025-10-21T21:37:48+00:00,2.169477,0.915523,2.769041,2.269435,,,,,2025-10-21T21:39:33+00:00
m28635,Landschaft bei Riehen-Ausserberg mit deren Bewohner:innen vor 48 000 Jahren,6e479615c0044bf9c932b2cb3a5d383ccb7d617ddca82670f810e57f400e0da6,Neandertaler mit Kind auf den Schultern in einer eiszeitlichen Landschaft mit Jagdszenen und Großwild.,"Neandertaler mit Kind auf den Schultern vor einer Landschaft mit Tümpel, Wildtieren und Aasfressern.","Landschaft im frühen Mittelpaläolithikum, dargestellt mit einem Neandertaler, der ein Kind trägt. Im Hintergrund sind Wildtiere wie Mammute und Vögel sowie eine Wasserstelle zu sehen. Die Umgebung besteht aus grasbewachsenen Flächen und vereinzelten Bäumen.",Neandertaler mit Kind auf dem Rücken jagen Wildtiere in einer grasbewachsenen Landschaft am Rhein; im Hintergrund fliegen Habichtartige über eine Schlucht mit Mammuten und Riesenhirschen.,stop,stop,stop,stop,2415,1625,26120,1199,25,30,60,54,2440,1655,26180,1253,0.0002515,0.00026175,0.003954,0.00012292,Google,DeepInfra,OpenAI,Novita,1761082699,1761082708,1761082704,1761082702,gen-1761082699-JLvZDoEmIQLPPFY5iQAc,gen-1761082708-xgxFG8zdQviIqjANMA8c,gen-1761082704-5hlXanZ85gMhswOd1GKO,gen-1761082702-jMrYvfLzfLFgNvSssvwc,2025-10-21T21:38:18+00:00,2025-10-21T21:38:28+00:00,2025-10-21T21:38:24+00:00,2025-10-21T21:38:22+00:00,2025-10-21T21:38:22+00:00,2025-10-21T21:38:31+00:00,2025-10-21T21:38:28+00:00,2025-10-21T21:38:24+00:00,3.578714,2.32422,4.46115,1.956657,,,,,2025-10-21T21:39:33+00:00
m29084,Schematische Rekonstruktionszeichnungen frühmittelalterlicher Grabtypen,160f0846e1402b05a27977e9aab155eaa9e4c5c32a36b5f5e2ee150924607731,"Schematische Rekonstruktionszeichnungen von verschiedenen frühmittelalterlichen Grabtypen aus Basel: Steinplatten-, Mauer-, Kammer- und Brandgräber sowie einfache Erdbestattungen.","Frühmittelalterliche Grabtypen: Steinplattengrab, Mauer- und Kammergrab teils mit Hügeln, Brandgrab und Erdbestattung.","Schematische Zeichnungen verschiedener frühmittelalterlicher Grabtypen aus Basel. Oben: Steinplatten- und Kammergräber in Aufsicht und Querschnitt sowie Mauergräber. Unten: einfache Erdbestattungen und Brandgräber in unterschiedlichen Ansichten. Illustration zeigt Gräber in minimalistischer, grauer Darstellung.","Schematische Darstellung verschiedener frühmittelalterlicher Grabtypen: Steinplatten-, Mauer-, Kammer- und Brandgräber mit Hügeln, sowie einfache Erdbestattungen – jeweils mit Aufsicht und Querschnitt.",stop,stop,stop,stop,1875,2052,26113,1324,36,35,73,57,1911,2087,26186,1381,0.0002019,0.0003288,0.00396075,0.00013442,Google,DeepInfra,OpenAI,Novita,1761082711,1761082721,1761082718,1761082715,gen-1761082711-3qQt1FT17wn2Vy6F13PO,gen-1761082721-VMxrtHmnLoHUUrSd84oy,gen-1761082718-yp9i7mzNXz0HPzsbEtn1,gen-1761082715-GXbZdt1LO2kbamuZql0z,2025-10-21T21:38:31+00:00,2025-10-21T21:38:41+00:00,2025-10-21T21:38:38+00:00,2025-10-21T21:38:35+00:00,2025-10-21T21:38:35+00:00,2025-10-21T21:38:44+00:00,2025-10-21T21:38:41+00:00,2025-10-21T21:38:38+00:00,4.550368,2.651556,3.465622,2.427614,,,,,2025-10-21T21:39:33+00:00
m34620,Ausgrabung im Chor der Peterskirche im Jahr 1962,4ac688bbf2b9927ec3c7859f3b75999fb4a905fa7b6e3a2c09a53c51c29b4a8c,Archäologische Grabung im Chor der Peterskirche: Fundamente des Gründungsbaus von 9./10. Jh. neben romanischen und gotischen Mauern.,"Archäologische Ausgrabung in der Peterskirche 1962, Fundamente verschiedener Bauphasen.","Rechteckiger Chor mit romanischen Fundamenten und halbrunder Apsis, sichtbar in den Ausgrabungen der Peterskirche. Fundamente des gotischen Chors sind ebenfalls erkennbar. Zustand: teilweise sichtbar, graue Steine, erdige Fläche.","Ausgrabung des Chors der Peterskirche 1962: Überlagerung von Gründungsbaustufen – rechteckiger Chor (9./10. Jh.), romanische Apsis (10./11. Jh.), gotischer Chor (13. Jh.).",stop,stop,stop,stop,1862,2029,26087,1989,35,24,56,45,1897,2053,26143,2034,0.0002002,0.00056823,0.00394665,0.00038952,Google,Together,OpenAI,Alibaba,1761082602,1761082611,1761082606,1761082604,gen-1761082602-8N2A7JkayMr1Mi92yQIV,gen-1761082611-bvNS4dGA0xjRMYgm9JTd,gen-1761082606-btZJ0UP5khxbcrOOoq2I,gen-1761082604-DRfrBDw12yQZcqJaShby,2025-10-21T21:36:42+00:00,2025-10-21T21:36:51+00:00,2025-10-21T21:36:46+00:00,2025-10-21T21:36:44+00:00,2025-10-21T21:36:44+00:00,2025-10-21T21:36:53+00:00,2025-10-21T21:36:51+00:00,2025-10-21T21:36:46+00:00,1.998545,1.82057,4.31691,2.67015,,,,,2025-10-21T21:39:33+00:00
m37030_1,"Wahlverfahren gemäss der ‹Handfeste›, um 1260",19d1b9dc21b358e95aa26b4805ca96497a6ff6de0669a1f623c27baeff89999c,"Diagramm des indirekten Wahlverfahrens, das 1260 gemäss der Basler Handfeste angewendet wurde, mit ""alter Rat"", ""Kieserkollegium (Wahlbehörde)"" und ""neuer Rat"".","Farbiges Diagramm mit mehreren Ebenen von Kreisen, die durch Linien verbunden sind und das mittelalterliche Wahlverfahren gemäss der ‹Handfeste› um 1260 darstellen.","Darstellung eines indirekten Wahlverfahrens im Mittelalter mit einem Kieserkollegium. Links der alte Rat und rechts der neue Rat, beide mit verschiedenen farbigen Kugeln zur Wahl. Die Wahlbehörde in der Mitte koordiniert den Prozess.","Indirektes Wahlverfahren: alter Rat wählt Kieserkollegium, das wiederum den neuen Rat wählt. Temporäre Wahlbehörde für unabhängige Entscheidung.",stop,stop,stop,stop,2469,1380,14830,1026,49,40,54,44,2518,1420,14884,1070,0.0002665,0.000241,0.0022569,0.00010408,Google,Parasail,OpenAI,Novita,1761082724,1761082733,1761082730,1761082729,gen-1761082724-saarj4c45BSevf7KAxgW,gen-1761082733-bsNuzFEWJergamwgMtgj,gen-1761082730-mSZ7lAtV0lpnsjeTztqA,gen-1761082729-drPSUGHJzKyZEIAiMDmH,2025-10-21T21:38:44+00:00,2025-10-21T21:38:53+00:00,2025-10-21T21:38:50+00:00,2025-10-21T21:38:48+00:00,2025-10-21T21:38:48+00:00,2025-10-21T21:38:55+00:00,2025-10-21T21:38:53+00:00,2025-10-21T21:38:50+00:00,4.540614,2.002218,2.605543,1.875386,,,,,2025-10-21T21:39:33+00:00
